title,console,genre,publisher,critic_score,us_sales,jp_sales,eu_sales,other_sales,total_sales
Kung Fu Panda,X360,Platform,Activision,7.5,1.91,,0.84,0.29,3.05
Metal Gear Solid V: The Phantom Pain,PS4,Action,Konami Digital Entertainment,,0.97,0.5,1.15,0.42,3.04
Mass Effect 3,X360,Role-Playing,Electronic Arts,9.5,1.94,0.03,0.84,0.24,3.04
Rayman,PS,Platform,Ubisoft,7,1.54,,1.33,0.16,3.03
Tom Clancy's Splinter Cell,XB,Action,Ubisoft,9.3,1.85,,1.04,0.13,3.02
WWE SmackDown! vs. Raw 2006,PS2,Fighting,THQ,8.4,1.57,,1.02,0.41,3
The Sims: Livin Large,PC,Misc,Electronic Arts,,1.67,,1.18,0.13,2.99
World Soccer Winning Eleven 6 International,PS2,Sports,Konami,,0.12,1.16,1.26,0.45,2.99
Far Cry 3,X360,Shooter,Ubisoft,,1.38,0.02,1.33,0.25,2.98
Hitman 2: Silent Assassin,PS2,Action,Eidos Interactive,,1.36,0.04,1.15,0.41,2.96
Battlefield: Bad Company 2,PS3,Shooter,Electronic Arts,8.9,1.33,0.08,1.11,0.44,2.96
Street Fighter IV,X360,Fighting,Capcom,9.3,1.83,0.15,0.7,0.26,2.95
WWE SmackDown! vs. RAW 2006,PS2,Fighting,THQ,,1.45,0.04,1.11,0.33,2.94
Pac-Man Collection,GBA,Puzzle,Namco,,2.07,0.05,0.77,0.05,2.94
Madden NFL 13,X360,Sports,EA Sports,8,2.53,,0.16,0.24,2.93
Doom (2016),PS4,Shooter,Bethesda Softworks,,0.93,0.04,1.48,0.46,2.92
FIFA 15,X360,Sports,EA Sports,6.9,0.8,,1.9,0.21,2.91
Mass Effect,X360,Role-Playing,Microsoft Game Studios,9.2,1.83,0.03,0.79,0.27,2.91
Mortal Kombat (2011),PS3,Fighting,Warner Bros. Interactive Entertainment,8.5,1.98,,0.54,0.38,2.9
Call of Duty: Finest Hour,PS2,Shooter,Activision,,1.51,0.01,1.12,0.24,2.89
Cooking Mama: Cook Off,Wii,Simulation,Majesco,5.9,1.41,0.05,1.12,0.3,2.89
Sega Superstars Tennis,X360,Sports,Sega,6.9,1.75,,0.86,0.28,2.89
